word,explanation,example_sentence
age,"〈U〉(一般に)年齢,寿命;〈C〉(個々の)年齢,年  / 〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳)  / 〈U〉老齢,《集合的に》老人たち  / 〈U〉(人生の)一時期 / 〈C〉世代([[generation]])  / 〈U〉〈C〉《しばしばA-》(歴史上の)時代  / 〈C〉《話》長い間",My age is not a barrier to my dreams.
ago,《期間を表す語の後に用いて》(今から)…前に / 《longの後に用いて》以前に,I moved to this city five years ago.
agree,"〈人が〉意見が一致する,合意する;同意する,賛成する  / 〈物事が〉《…と》合致する,一致する《with ...》  / 《…と》いっしょにうまくやる《with ...》  / (文章で)〈人称・性・数・格が〉一致する  / …に意見が一致する,同意する",I completely agree with your opinion on this matter.
airplane/aeroplane,飛行機(《英》[[aeroplane]]),I will take an airplane to travel to Japan next month.
airport,"〈C〉空港, 飛行場",I will pick you up at the airport.
album,"(写真・切手・切り抜きなどを貼る)アルバム  / (いくつかの曲・劇などを収録した)組レコード,アルバム  / 画帳",I found an old photo album in the attic.
all,"《単数形,または数えられない名詞につけて》(ある一つのものについて,その)全体の,全…,…じゅう,…全体 / 《複数形につけて》(個々を一つにまとめて)全部の,すべての / 《複数形,または数えられない名詞につけて》(ある全体の中の)いずれの,およそどの,あらゆる / 《数えられない名詞につけて》できる限りの,最大の",All the books on this shelf are mine.
all,"《単数扱い》(物事について)全部,全体,すべて / 《複数扱い》全員,みんな / いっさいの所有物,いっさいがっさい",All of them are here.
all right,かまわない / 《...にとって》都合がいい《for ...》 / うまくいっている,It's all right to be late sometimes.
all right,"うまく / 《確信》確かに, 間違いなく / 《確認》わかりましたか /《同意》はい / 《喜び》やったぞ / 《脅し》おい / 《切り出し》それでは",Everything will be all right in the end.
almost,"ほとんど,たいてい([[nearly]])、もう少し",I have almost finished my homework.
alone,"ひとりで, 単独で, ただ…だけで",I decided to travel alone.
along,"《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って / 沿って,並んで",We walked along without saying a word.
already,"《肯定文で》もう,すでに  / 《驚き・意外の意を表して》《疑問文で》もう,早くも;《否定文で》まさか",I have already finished my homework.
also,"…もまた([[too]]), 同様に（[[as well]]） / そしてその上,それから",I also like to read books.
always,"いつも, 常に / いつまでも, 永久に / 《話》 いずれにしても, 必要なら",I always drink coffee in the morning.
am,"be動詞の一人称単数,直説法,現在形",I am a student.
an,"《[[one]]の弱い意味で》一つの,一人の / ある([[a certain]]) / 《同種類のものを代表して[[any]], [[each]]の弱い意味で》…というものは,いずれの,どの / 《単位を表す語につけて》…につき, 毎…([[per]])",I bought an apple from the market.
and,"《等位接続詞》《語・句・節を対等に結んで》…と…,…や…,および  / 《数詞を結合して》…足す…,…に加えて  / …しかも…,…して,同時に…  / 《時間的に》そして,それから,すると([[and then]])  / 《当然の帰結として》…ので,…だから([[and so]])  / 《おもに話》《命令文などの後で》そうすれば,そうしたら  / 《追加・強調して》それに,しかも  / 《対照的な内容を導いて》ところが,しかし([[but]])  / 《譲歩的に》それなのに,それでいながら / 《話》《文頭に置いて驚き・疑念・非難などを表して》ほんとうに;…なのに",I like apples and oranges.
angry,"怒った, 腹を立てた / (波・風などが)怒ったような, 激しい / (傷が)炎症を起こした",He was angry because he missed the bus.
animal,"(植物に対して)動物  / (人間以外の)動物,けだもの  / (魚・鳥などに対して)哺乳動物([[mammal]])  / けだもの(野獣)のような人  / (比較変化なし)《名詞の前にのみ用いて》動物の,動物性の,動物質の  / (知的・精神的に対して)動物的な;肉欲的な",The zoo is a place where you can see various kinds of animals.
another,"もう一つの,もう一人の  / 別の,ほかの(different)  / もう一つ,もう一人  / 別のもの(人),違ったもの(人)  / 似たもの,同類",Let's try another restaurant for lunch today.
answer,"〈C〉(質問・要求に対する)答え,回答([[reply]]),(手紙に対する)返事《to ...》 / 《…に対する》応報, 仕返し 《to ...》/ (問題に対する)解答,正解《to ...》 / (一般に)《…に対する》解答,説明,(被告人の)答弁,申し開き《to, for ...》","""[[Right on]], that's the right answer!"""
answer,"〈質問・手紙・人など〉に答える,返事をする / 〈訪問・電話など〉に応じる / 《…で》…に応酬する,...に応答する《with ...》 / 〈非難など〉に答弁する / 〈目的・条件など〉にかなう,に合致する,に添う / 《…に》答える,返事をする《to ...》 / 《…に》応ずる,応酬する《to ...》 / 〈物事が〉うまくいく,成功する",I will answer your question tomorrow.
any,"《疑問文・条件節で》いくらかの,何か,だれか /《否定文で》少しも,何も,だれも / 《肯定文で,単数名詞につけて》どんな…でも",Is there any chance you could help me with this?
any,"《否定文で》少しも,だれも / 《疑問文・条件節で》《…の》どれか,いくらか,だれか《of ...》 / 《肯定文で》どれでも,だれでも,少しでも, 《…の》どれでも,だれでも《of ...》",I don't want any.
anybody,【代】｟くだけて｠（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,Anybody can do that.
anyone,《かたく》《疑問文・条件節で》だれか / 《否定文で》だれも / 《肯定文で》だれでも,Anyone can do it if they try hard enough.
anything,"《疑問文・条件節で》何か / 《否定文で》何も,どんなことも / 《肯定文で》なんでも, どんなものでも",I will give you anything you want.
apple,リンゴ;リンゴの木,I ate an apple this morning.
April,4月(《略》Apr.),April is the month of blooming flowers.
apron,"『エプロン』,前掛け / (また『apron stage』)張り出し舞台 / エプロン(飛行機の乗降・荷積み・給油などをする所)",He was wearing a white apron.
are,"…『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形)",You are my best friend.
arm,"〈C〉(人・猿の)腕 / (四つ足の動物の前肢の)腕(手首から肩までの間）（手は[[hand]]) / 腕のような物, (特に)いすのひじ掛け, 樹の大枝 / 〈C〉《複数形で》武器, 兵器",He held his arm up high.
around,"...の周りに / …のあちこちに, …のあちこちを / 《米・英話》…を回って",I like to walk around the park in the morning.
arrive,"着く,到着する《at, in, on ...》 / (ある目標・過程・断階などに)達する 《at ...》 / （時が）来る",The train arrives at the station at 8 PM.
art,"〈U〉〈C〉芸術, 芸術作品 / 〈C〉技術, 技法 / 〈U〉《複数形で・単数扱い》人文科学",She enjoys visiting art galleries and museums.
article,"(新聞・雑誌などの)(…についての)記事,論説《+on+名》  / (条約・契約などの)条項,箇条;《複数形で》契約  / 《複数形で》(またarticles of apprenticeship)徒弟年季契約  / (同種の物の)一個,一品,品物,商品《+of+名》  / 冠詞",This article explains the benefits of exercise.
as,"《役割・職業に注目して》 ...として, ...とみなして / 《時》…のとき / 《様態》…のように / 《外見》（装って）…に見えるように",I go there as a tourist.
ask,"〈他〉〈事〉について質問する, を尋ねる / 《...について》〈人〉に質問する《about ...》 / 〈事〉を頼む / 《...を》〈人〉に頼む 《for ...》 / 〈自〉《...について》質問する《about ...》",I asked her to join us for dinner.
at,"《場所・位置のある一点》…で,…に  / 《時間・年齢・目盛りなどの一点》…に,…で  / …の最中で,に出席して  / …の状態に(で)  / …を目指して,に向かって  / 《移動の経路》…を通って,…から  / 《動作・感情などの原因・理由・動機》…によって,…を見て(聞いて,知って)  / 《運動・動作の方法・様態》…で,…のやり方で  / 《数量・割合・率》…で,…に  / 《能力・性質などの存在場所》…が,…の点で",I'm meeting him at the park.
August,8月(《略》Aug.)  / 《形容詞的に》August heat wave{名}〈C〉8月の暑波August vacation{名}〈C〉8月の休暇,August is my favorite month of the year.
aunt,『おば』 / おばさん(年長の婦人に対する敬称),My aunt gave me a beautiful necklace for my birthday.
autumn,〈C〉〈U〉秋,The beauty of autumn leaves is breathtaking.
awake,"眠らずに,目がさめて / 《…に》気づいている《to ...》",The child was wide awake when his parents came home.
away,離れて,She walked away from the accident scene.
baby,"赤ん坊,赤ちゃん  / (家族・グループの中で)いちばん年少の人,最年少者  / 赤ん坊みたいな人  / (またbabe)《米俗》《特に若い女の子への呼びかけた用いて》かわいこちゃん  / 赤ん坊の[ような],赤ちゃん用の  / 《話》…'を'赤ちゃんのように扱う,甘やかす",The baby smiled at me.
back,"後方へ,後ろに([[backward]]) / (場所・状態が)もとへ,帰って,返して / (時間的に)さかのぼって,今から…前に([[ago]])",He looked back and saw a car approaching.
back,"〈C〉(人・動物の)背,背中,背部 / 《通例the〜》(正面に対して)《…の》後ろ,裏,奥,後部《of ...》 / 《通例the》背に似たもの, (手足の)甲, (刀の)みね, (いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛",He has a tattoo on his back.
bad,"悪い,不良の;不正な  / 適当でない,欠陥のある  / 《補語にのみ用いて》《…に》有害な《for ...》  / 病気の  / ひどい,激しい,重い  / 腐敗した,腐った  / 不快な,いやな  / へたな,まずい  / 《補語にのみ用いて》《話》《…を》悪いと(残念に)思っている《about ...》",The food was bad.
bag,"袋  / 袋状の物  / (女性の)ハンドバッグ;旅行かばん,スーツケース  / (…の)1袋分の量《+of+名》  / (野球の)走塁ベース  / 獲物入れ;(猟の)獲物",I'm going to buy a bag.
ball,"〈C〉球, ボール / 〈U〉球技, 野球 / 〈C〉弾丸 / 球状のもの / 《俗》睾丸(こうがん) /",I bought a new ball.
banana,『バナナ』;バナナの木 / 《米俗》ドル,I bought a banana at the store.
band,"〈C〉帯, バンド, ひも / (色の)すじ,しま  / 周波数",She used a rubber band to tie her hair into a ponytail.
bank,〈C〉銀行 / 貯金箱 / 貯蔵,I deposited my money in the bank.
bar,"〈C〉棒 / 《...に対する》障害《to, against ...》 / 酒場",This bar is a popular student hangout.
baseball,〈U〉野球,He loves playing baseball.
basketball,"〈U〉バスケットボール,篭(ろう)球  / 〈C〉バスケットボール用のボール",He loves playing basketball.
bat,〈C〉(野球・クリケットの) バット / (特にバトミントン・スカッシュなどの)ラケット / 打者 / 打順 / バットによる一撃,He hit the ball with his bat.
bath,"入浴;水浴び  / (また《おもに米》bathtub,《話》tub)浴槽(よくそう),ふろ[がま]  / 浴室(bathroom);  / 《複数形で》(古代の)大浴場  / (化学作用を与えるための)浴液;電解そう",I'm going to take a bath.
bathroom,"浴室,ふろ場  / 便所(toilet)",I need to go to the bathroom.
be,《補語を伴って》 ...である / 《位置・場所を伴う語句を伴って》 《...に》 ある / 存在する,I will be there soon.
beach,"浜,海岸  / 海水浴場  / 〈ボートなど〉'を'浜に引き上げる",We had a great day at the beach.
bean,豆(おもにいんげん豆・そら豆など大きめの豆類)  / 豆のさや(pod)  / 豆に似た実  / 《俗》頭,I ate a bean for lunch.
bear,〈C〉熊 / 〈C〉乱暴者 / (株式で)売り方,The bear ran across the field.
beautiful,"美しい,きれいな  / 《話》みごとな,すばらしい  / 《名詞的に;the~》《単数扱い》美(beauty)  / 《名詞的に;the~》《複数扱い》美しい人たち(beautiful people);美しいもの",She has a beautiful voice.
because,"(なぜならば)…だから,…ゆえに  / 《否定文の主節とともに用い》…であるからといって  / 《おもに話》《名詞節を導いて》…ということ",I went to the store because I needed milk.
become,...になる / 〈衣類などが〉〈人〉に似合う / にふさわしい,He became a successful businessman.
bed,"〈C〉〈U〉ベット,寝台  / 〈U〉睡眠,宿泊  / 〈C〉花壇,苗床…養殖場  / 〈C〉(海・川などの)床,水底  / 〈C〉地層;(一般に)土台",I slept in a comfortable bed last night.
bedroom,寝室;(列車内の)寝室,I have a bedroom in my house.
bee,"『はち』,(特に)みつばち(honeybee) / 《米話》(趣味・仕事上の)集会,集い / (親善のための)競技会 / 働き者",The bee was buzzing around the flowers.
beef,"〈U〉牛肉;(一般に)肉  / 〈C〉《おもに米》肉牛,食肉牛;(屠殺(とさつ)して処理した)牛  / 〈U〉《話》筋肉,力;体重,肉づき  / 〈C〉《俗》不平,苦情",I love eating beef.
before,"《場所・位置》前へ(に),前方へ(に),先へ(に)  / 《時》以前に,すでに([[already]]);今までに,その時までに  / (予定より)早く,前に",Please step before.
before,"《場所・位置》…の前に,を前にして / 《時》…より前に([[earlier]] than…) / (裁判・審理などのために)…の前に / …の前途に,に用意されて,を待って / (困難・不利など)に直面して / (力・勢いなど)に追われて,押されて,攻撃されて / 《順序・階級・価値など》…よりまさって,に優先して,より重要で / 《優先》…よりむしろ,するくらいなら([[rather than]])",The book is before the laptop.
begin,"始まる,開始する  / 発生する,起こる  / …'を'始める,‘に'着手する  / …'を'起こす,創始する",I began to learn a new language.
behind,"過ぎ去って,過去に  / 《場所・位置》後ろに,陰に[隠れて]  / 《leave,remain,stayなどの動詞と共に用いて》後に  / (定められた時刻に)遅れて;(知識・仕事・進歩などが)遅れて",The days of our youth are now far behind.
behind,"《場所・位置》…の後ろに,の陰に, の陰に隠れて / 《比喩的に》…の陰に隠されて,の裏に([[at the back of]]) / …を支持して,…に味方して / 《[[leave]],[[remain]],[[stay]]などの動詞と共に用いて》…の後に,が去った後に /  (定められた時刻)に遅れて, (知識・仕事・進歩などが)遅れて",The cat is hiding behind the couch.
being,[[be]]の現在分詞・動名詞 / ...であること,Being honest is the best policy.
believe,"(現実・真実であると)〈事〉'を'信じる,信用する  / 〈人〉'を'信じる,信用する;〈人〉‘の'言ったことを信じる  / 《1,2の弱い意味に,同じ文型で用いて》…‘と'思う,考える(think)  / 信ずる;信仰する",I believe in the power of kindness.
bell,"鐘,釣り鐘;鈴,ベル,りん  / 〈U〉鐘(鈴,ベル)の音  / 〈C〉鐘(ベル)状のもの  / 〈C〉点鐘(船の当直交替を0時から4時間ごとに区切り,その間を30分ごとに1‐8点鐘で時を報じる.例えば2つ鳴らすことを2点鐘といい,午前または午後の1時,5時,9時を指す.8点鐘は当直交替の時間)",The bell rang at 8 o'clock.
below,"下方へ向かって,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に",I can see the ocean below.
below,"【前置詞】《[[fly]],[[go]],[[sink]] など移動を表す動詞と結びつき方向を表して》…の下方へ,より低い位置へ / 《位置》…の下方で,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…より以下で(の) / …にふさわしくない,にさえ値しない",The bird is flying below the clouds.
beside,"《位置・場所》…のそばに,のわきに,の横に / …と比較して([[compared with]]) / (要点など)をはずれて([[apart from]])",He was sitting beside me.
best,"(『[[good]]』の最上級;比較級は『[[better]]』)『いちばんよい』,最もよい,最良の / (『[[well]]』の最上級;比較級は『[[better]]』)『健康状態が最良の』([[healthiest]]) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した",This is the best movie I have ever seen.
best,"(『[[well]]』の最上級;比較級は『[[better]]』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく",She sings best among all the students in our class.
better,"《good の比較級》 いっそうよい,もっとすぐれた / 《wellの比較級》《補語にのみ用いて》(健康が)いっそうよい,(病気が)快方に向かって / (量・距離・時間などが)もっと多い",This car runs much better than before.
between,"《場所・空間・期間》...の間に, ...の間で / 《数量・程度など》...の中間に / 《分配》…の間で / 《選択》...のいずれかを / 《関係》…の間に / 《協力》...と協力して / 《理由》...やら...やらで",The cat is sleeping between the two sofas.
bicycle,(2輪の)自転車,I bought a new bicycle today.
big,"(大きさ・高さ・広さ・数量・容積などについて)大きい  / 成長した(grown-up),成熟した;年長の(older)  / 《話》重要な  / 尊大な,ごう慢な  / 寛大な,心の大きい  / 《補語にのみ用いて》(…に)満ちて《+with+名》  / 《補語にのみ用いて》(子を)宿して《+with+名》",The house was big.
bike,〈C〉《くだけて》自転車 / オートバイ,I bought a new bike.
bird,"鳥  / 〈話〉《修飾語を伴なって(目立った特徴をもった)やつ,人  / シャトル / 《英俗》女  / 《俗》《[[the bird|get the bird]]》(不満を表す)しーっしーっという野次 / 《形容詞的に》bird feathers（鳥の羽）bird life（〈U〉鳥の生活）",The bird flew over the river.
birth,"〈C〉〈U〉誕生,出生  / 〈U〉生まれ,家柄;家系(lineage)  / 〈C〉起原,起こり(origin)",The birth of my first child was the happiest moment of my life.
birthday,誕生日,My brother's birthday is on the third of June.
biscuit,〈C〉《米》『小型パン』(ふくらし粉かソーダを用いて焼いたもの;《英》scone) / 〈C〉《英》『ビスケット』,I bought a box of biscuit.
black,"黒い,黒色の  / 暗い,まっ暗な([[dark]])  / (特にアフリカ系)黒人の  / 汚い([[dirty]]),汚れた([[soiled]])  / 陰気な([[gloomy]]);不吉な;見通しの暗い  / 怒った([[angry]]);不きげんな([[sullen]])  / 腹黒い,邪悪な([[wicked]], [[evil]])  / 《文》不名誉な  / (コーヒーに)クリーム(牛乳)を入れない,ブラックの",She wore a black dress to the party.
black,"〈U〉黒,黒色 /〈C〉《しばしばB-》黒人 / 〈U〉黒い服, 黒衣,(特に)喪服 / 《the》黒字 （赤字は[[red]]）",He looks nice in black.
blank,"(紙が)白紙の;(欄が)空白の,書き入れていない  / がらんとした,からの(empty);なんの装飾もない  / ぼんやりした,うつろな,無関心な  / 全くの  / 空白,空所  / 書き込み用紙(form)  / 空虚;空(くう)の部分  / (語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏  / (またblank cartridge)(銑火器の)空包",The sky was blank and empty.
block,"(木・石などの,通例平らな面のある)『かたまり』  / 《米》『区画』,街区  / 『妨害物』,障害物([[obstacle]]);(障害によって生じた)停滞,渋滞",The city block was [[filled with]] people.
blow,"〈風が〉吹く /  風で動く,なびく / 〈風が〉…を吹く, を吹き動かす",The wind began to blow strongly.
blue,"青い,あい色の  / 青黒い  / 《話》陰気な,憂うつな",The sky is blue.
blue,"〈U〉青色,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the 〜》《詩》青空,青い海 / 《the 〜s》《話》憂うつ, 気のふさぎ, うれいの色 / 《the 〜s》《ときに単数扱い》(ジャズ音楽の)ブルース",The sky is a beautiful shade of blue.
board,"〈C〉(ある程度の長さと幅をもった薄い)板  / 〈C〉ボール紙,台紙  / 〈C〉食卓;〈U〉食事,(特に有料の)まかない  / 〈C〉甲板(かんぱん),船べり  / 〈C〉委員会;(官庁の)局,部,課  / 《the boards》舞台",Stick a notice on the board.
boat,"小型の船,小舟,ボート  / 《話》(大小に関係なく一般に)船,汽船  / 舟形の容器",The children went on a boat ride.
body,【名】身体；（生物の）胴体；人,The doctor examined the patient's body.
bone,"〈C〉骨  / 〈U〉骨を作っている物質,骨質  / 《複数形で》骨格;死骸(がい)",He found a bone in the garden.
book,"本 / 書物, 書籍, 著作 / 知識の源 / 聖書 / 帳簿 / (切手・マッチ・小切手などの)とじこみ帳 / 名簿",This is a book to read.
bookstore,"書,本屋(《英》bookshop)",I went to the bookstore to buy a new book.
boring,つまらない / 退屈な / うんざりするような,The lecture was so boring that I fell asleep.
borrow,"(…を担保として…から)…'を'借りる《+名+from+名+on+名》  / 〈言葉・思想・方法など〉'を'借りてまねる,模倣(もほう)する  / 借りる,借金する",I borrowed a book from the library.
both,"《both…and…の形で》両方とも,…のいずれも",They both arrived late for the meeting.
both,"両方の,双方の",Both of them are my friends.
both,"両方,両者",I really like both.
bottle,びん;1びんの量  / 〈U〉《the~》酒;飲酒  / 〈U〉《the~》哺乳(ほにゅう)びん;牛乳,She put the bottle on the table.
bottom,"(物の)底《+of+名》  / (海・川・湖・井戸などの)底《+of+名》  / (…の)下部,底部,根元《+of+名》  / (…の)根底,基礎;(…の)心底,奥底《+of+名》  / 船底,船腹;(一般に)船,船舶  / 《話》しり(posterior)  / 《複数形で》川沿いの低地(低い牧草地)  / 最低の;最後の  / 底の;根底の",The cat was sleeping on the bottom of the bed.
bowl,"〈C〉どんぶり,はち, わん,茶わん,ボール / どんぶり(はち)1杯の量 / 《...の》丸くくぼんだ部分《of ...》 / 《米》(はち形の)円形競技場([[stadium]])",I ate a delicious bowl of ramen for lunch.
box,"箱  / (の…)1箱《+of+名》  / (劇場などの)さじき席 ます席  / 番小屋,詰め所  / (野球で)バッターボックス;コーチャーズボックス;ピッチャーズマウンド;キャッチャーの定位置  / (線で囲った)四角のわく,囲み;(新聞・雑誌の)  / (郵便の)私書箱  / 《the box》《英俗》テレビ",The box was filled with candy.
boy,"少年,男の子  / 《しばしば所有格を伴って》むすこ  / 《しばしば複数形で》青年,若い男  / 《話,特に米南部方言》(年齢に関係なく)男,仲間  / 給仕,下男  / 《the boys》飲み(遊び,仕事)仲間  / 《米話》やあ(その他,歓喜・驚きを表す時に用いられる)",The boy ran around the park.
boyfriend,"《話》男友だち(恋人),ボーイフレンド / 男友だち(恋人),ボーイフレンド",My boyfriend is my best friend.
brain,"脳,脳髄  / 《しばしば複数形で》頭脳,知力  / 《話》秀才,知的指導者",The brain is a complex organ.
bread,"パン,食パン  / (生名の糧(かて)として必要な)食物一般…生計・金・銭",I bought a loaf of bread.
break,…を壊す / …を役に立たなくする / 〈法律・規則・約束など〉を破る / 《…に》…を打ち明ける《to ...》 / …を破産させる / 《しばしば副詞[句]を伴って》壊れる /,She broke the window with a rock.
breakfast,朝食,I had a delicious breakfast this morning.
breathe,【動/自】呼吸する / 【動/他】〈空気〉を呼吸する,I'm trying to breathe.
bridge,〈Ｃ〉橋 / 鼻柱 / (めがねの)ブリッジ,We crossed the bridge to reach our destination.
bright,"輝いている,びかびかの(shining)  / うららかな,晴れた  / 生き生きした,元気のよい(cheerful)  / 未望な(promising)  / (色が)鮮やかな,鮮明な(clear)  / りこうな(clever),気のきいた(smart)  / 明るく,輝いて(brightly)",The sky was a bright blue.
bring,"〈物〉‘を'持ってくる  / 〈人が〉(…に)〈人〉‘を'連れてくる《+名〈人〉+to+名》  / 〈物事が〉(…に)〈人〉‘を'来させる,引き寄せる《+名+to+名》  / 〈物事〉をもたらす,引き起こす  / (ある状態・結果・動作などに)…‘を'する  / (…に対して)〈訴訟〉を起こす《+名+for(against)+名》",He brought a cake to the party.
broken,"breakの過去分詞 / 『壊れた』,折れた,破れた,裂けた / 『破られた』 / (苦労・悲嘆などで)打ちのめされた,意気消沈した,衰弱した / 切れ切れの,断続的な / 完全でない,半端な / 滑らかでない,でこぼこの / (機械などが)故障した,だめになった / (馬が)慣らされた,調教された / (言語が)不完全に話される / 破産した",The broken vase lay shattered on the floor.
brother,"兄弟,兄,弟  / 同僚,仲間;同業者  / 《文》同胞;同一教会員,同じ信仰の友  / (失望・不快・驚きを表して)いまいましい,ちきしょう",My brother and I are going to the movies.
brown,"褐色の,茶色の  / 日に焼けた  / 褐色,茶色,トビ色",The brown fox jumped over the fence.
brush,"ブラシ,はけ,毛筆,画筆 / ブラシをかけること, 絵筆を使うこと,画法 / ブラシに似た物（キツネのしっぽなど）/ 小ぜり合い,いざこざ /  《…が》かすること, 軽く触れること《of ...》 / (モーターの)ブラシ,刷子",I need to buy a new brush for my hair.
brush,"…にブラシをかける, をブラシでこする(みがく,払う) / (ブラシをかけるようにして,手で)…を払いのける / (通りすがりに)…をかする, に軽く触れる / 《…を》かすめて通る,かする《past, by, against ...》",I brush my hair every morning.
bucket,"バケツ,手おけ;(井戸の)つるべ  / バケツ状の物;(水車・タービンなどの)水受け;(ポンプの)吸い子  / バケツ1杯(の…)(bucketful)《+of+名》",The man filled a bucket with water.
build,"〈物〉'を'組み立てる,造る,建造する,建築する  / (年月をかけて)〈事〉'を'作り上げる,築き上げる;《受動態で》〈体・性質〉'を'作る",He built a house on the hill.
building,"〈C〉『建物』,ビルディング;(一般に)建造物 / 〈U〉建築,建築術",The high-rise building was built in the city center.
burger,ハンバーガー,"I'm hungry, so let's go get a burger."
bus,バス,I will take the bus to school.
business,"〈U〉(生計のための)職業,商売;任務,仕事 / 〈C〉店,会社,商社 / 〈U〉商取引,商売 / 〈C〉事,事柄([[matter]],[[affair]]);用事,用件 / 《おもに否定文・疑問文で》(個人的)関心事,責任のある事",He has been in the business for 15 years.
busy,"《...で》忙しい,多忙な《with ...》  / 《...するのに》忙しい《~ doing》 / (場所が)にぎやかな  / 《米》(電話が)使用中の(《英》engaged)",The office is busy today.
but,"《等位接続詞》《先に述べたことに反対・対照する内容の語・句・節を導いて》しかし,だが,けれども / 《前にある否定語と対応して》…でなくて  / …を除いて,以外に([[except]]) /《しばしばthatを伴って》…でなければ,でないと([[unless]])","I want to go to the beach, but it's raining outside."
butter,バター  / (バターに似た)パンに塗る食品,I spread butter on my toast this morning.
butterfly,"〈Ｃ〉チョウ / 《話・通例複数形で》不安, 緊張, 胸騒ぎ / 〈U〉(水泳で)バタフライ",The butterfly fluttered around the garden.
button,"(衣服の)ボタン  / 記章,バッジ  / (ベルなどの)押しボタン",Press the button to turn on the light.
buy,〈他〉…を買う / (ある金額で) …が買える / (代償を払って)…を獲得する,I will buy a new car.
by,"《場時・位置》…のそばに, の近くに / 《期限・期間》…までに,の間に / 《根拠・理由》…によって / …を単位として / 《手段・方法》…で, によって",The new store is located by the train station.
bye,"さよなら, じゃあまた",Bye for now.
cafe/café,"〈C〉『喫茶店』([[coffeehouse]]),小レストラン);《英》(酒類を出さない)『軽食堂』 / 〈C〉バー,キャバレー,ナイトクラブ",I'm going to meet my friend at the cafe later.
